100 1f4af
1234 1f522
grinning 1f600
grimacing 1f62c
grin 1f601
joy 1f602
smiley 1f603
smile 1f604
sweat_smile 1f605
laughing 1f606
innocent 1f607
wink 1f609
blush 1f60a
slight_smile 1f642
upside_down 1f643
relaxed 263a
yum 1f60b
relieved 1f60c
heart_eyes 1f60d
kissing_heart 1f618
kissing 1f617
kissing_smiling_eyes 1f619
kissing_closed_eyes 1f61a
stuck_out_tongue_winking_eye 1f61c
stuck_out_tongue_closed_eyes 1f61d
stuck_out_tongue 1f61b
money_mouth 1f911
nerd 1f913
sunglasses 1f60e
hugging 1f917
smirk 1f60f
no_mouth 1f636
neutral_face 1f610
expressionless 1f611
unamused 1f612
rolling_eyes 1f644
thinking 1f914
flushed 1f633
disappointed 1f61e
worried 1f61f
angry 1f620
rage 1f621
pensive 1f614
confused 1f615
slight_frown 1f641
frowning2 2639
persevere 1f623
confounded 1f616
tired_face 1f62b
weary 1f629
triumph 1f624
open_mouth 1f62e
scream 1f631
fearful 1f628
cold_sweat 1f630
hushed 1f62f
frowning 1f626
anguished 1f627
cry 1f622
disappointed_relieved 1f625
sleepy 1f62a
sweat 1f613
sob 1f62d
dizzy_face 1f635
astonished 1f632
zipper_mouth 1f910
mask 1f637
thermometer_face 1f912
head_bandage 1f915
sleeping 1f634
zzz 1f4a4
poop 1f4a9
smiling_imp 1f608
imp 1f47f
japanese_ogre 1f479
japanese_goblin 1f47a
skull 1f480
ghost 1f47b
alien 1f47d
robot 1f916
smiley_cat 1f63a
smile_cat 1f638
joy_cat 1f639
heart_eyes_cat 1f63b
smirk_cat 1f63c
kissing_cat 1f63d
scream_cat 1f640
crying_cat_face 1f63f
pouting_cat 1f63e
raised_hands 1f64c
clap 1f44f
wave 1f44b
thumbsup 1f44d
thumbsdown 1f44e
punch 1f44a
fist 270a
v 270c
ok_hand 1f44c
raised_hand 270b
open_hands 1f450
muscle 1f4aa
pray 1f64f
point_up 261d
point_up_2 1f446
point_down 1f447
point_left 1f448
point_right 1f449
middle_finger 1f595
hand_splayed 1f590
metal 1f918
vulcan 1f596
writing_hand 270d
nail_care 1f485
lips 1f444
tongue 1f445
ear 1f442
nose 1f443
eye 1f441
eyes 1f440
bust_in_silhouette 1f464
busts_in_silhouette 1f465
speaking_head 1f5e3
baby 1f476
boy 1f466
girl 1f467
man 1f468
woman 1f469
person_with_blond_hair 1f471
older_man 1f474
older_woman 1f475
man_with_gua_pi_mao 1f472
man_with_turban 1f473
cop 1f46e
construction_worker 1f477
guardsman 1f482
spy 1f575
santa 1f385
angel 1f47c
princess 1f478
bride_with_veil 1f470
